,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.4581515347302501,,Intercept,341.7358333272994,342.0,0.2641666727005827,342.0
1,1,grade:A,0.9446125646994811,9.644788372958036e-26,grade,80.440577996875,80.0,-0.44057799687500676,80.0
2,2,grade:B,0.7314878208180376,1.6676302246712525e-33,grade,62.29146774370638,62.0,-0.2914677437063773,62.0
3,3,grade:C,0.548630797228822,1.649180150569007e-22,grade,46.71987234259686,47.0,0.28012765740314194,47.0
4,4,grade:D,0.3730952365453238,2.594944752551534e-12,grade,31.77175235344732,32.0,0.22824764655268126,32.0
5,5,grade:E,0.2194474521939215,3.5963931155800474e-06,grade,18.687534502610177,19.0,0.3124654973898231,19.0
6,6,grade:F,0.04953882954581386,0.3148786801725597,grade,4.2185889018125655,4.0,-0.21858890181256552,4.0
7,7,home_ownership:OWN,0.09687379063251296,1.5829397816255308e-06,home_ownership,8.249502497044096,8.0,-0.24950249704409622,8.0
8,8,home_ownership:MORTGAGE,0.10501105627498811,1.0121780724746674e-16,home_ownership,8.942449400416123,9.0,0.05755059958387676,9.0
9,9,addr_state:NM_VA,0.04506199763450587,0.15811029459199144,addr_state,3.8373543512695747,4.0,0.1626456487304253,4.0
10,10,addr_state:NY,0.0699134505578923,0.0037549567196137022,addr_state,5.953634942831805,6.0,0.04636505716819528,6.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06697629018772526,0.003661330574250132,addr_state,5.703514537201886,6.0,0.29648546279811416,6.0
12,12,addr_state:CA,0.07329376447629815,0.0005054858004579866,addr_state,6.24149307172929,6.0,-0.24149307172929024,6.0
13,13,addr_state:UT_KY_AZ_NJ,0.08878322129993493,0.0003459641366711036,addr_state,7.5605321215087935,8.0,0.4394678784912065,8.0
14,14,addr_state:AR_MI_PA_OH_MN,0.14613195163621165,7.160935700043712e-11,addr_state,12.444190446659963,12.0,-0.4441904466599631,12.0
15,15,addr_state:RI_MA_DE_SD_IN,0.11420515276764194,0.00012546989090069543,addr_state,9.725393078773191,10.0,0.27460692122680896,10.0
16,16,addr_state:GA_WA_OR,0.19659757678013046,1.406830242993547e-13,addr_state,16.741702683162917,17.0,0.25829731683708346,17.0
17,17,addr_state:WI_MT,0.2451036377491438,2.417186831831343e-07,addr_state,20.87234388624751,21.0,0.12765611375249009,21.0
18,18,addr_state:TX,0.23259013410710339,2.643416308916473e-19,addr_state,19.80672872999351,20.0,0.19327127000649114,20.0
